Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,29/10/2006 20:21,,,,RUR - Наличные,-39,"31,987.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,30/10/2006 22:00,,,,RUR - Наличные,-95,"31,892.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,30/10/2006 22:00,,,,RUR - Наличные,-125,"31,767.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,30/10/2006 22:00,,,,RUR - Наличные,-69,"31,698.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,30/10/2006 22:01,,,,RUR - Наличные,-32,"31,666.62",,\Все статьи расхода\Здоровье,\Все платёжные агенты\Света,
+,30/10/2006 22:01,,,,RUR - Наличные,-150,"31,516.62",ремонт,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,30/10/2006 22:08,,,,RUR - Наличные,-30,"31,486.62",,\Все статьи расхода,\Все платёжные агенты\Света,
+,31/10/2006 21:09,,,,RUR - Наличные,"-20,000.00","11,486.62",Шуба+дубленка,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,31/10/2006 21:10,,,,RUR - Наличные,-152,"11,334.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,31/10/2006 21:10,,,,RUR - Наличные,-73,"11,261.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,31/10/2006 21:11,,,,RUR - Наличные,-9,"11,252.62",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,31/10/2006 21:20,,,,RUR - Наличные,"-1,109.00","10,143.62",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты\Вадим,
+,1/11/2006 22:22,,,,RUR - Наличные,-111,"10,032.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,1/11/2006 22:23,,,,RUR - Наличные,-80,"9,952.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,1/11/2006 22:23,,,,RUR - Наличные,-92.3,"9,860.32",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,2/11/2006 22:27,,,,RUR - Наличные,-136.2,"9,724.12",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,2/11/2006 22:28,,,,RUR - Наличные,-150,"9,574.12",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,2/11/2006 22:28,,,,RUR - Наличные,-207,"9,367.12",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Вадим,
+,3/11/2006 21:55,RUR - Наличные,"5,615.00","14,982.12",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,3/11/2006 21:56,,,,RUR - Наличные,-20,"14,962.12",долг,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,3/11/2006 21:56,,,,RUR - Наличные,-185,"14,777.12",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,3/11/2006 21:56,,,,RUR - Наличные,-88,"14,689.12",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,4/11/2006 16:24,,,,RUR - Наличные,-100,"14,589.12",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,4/11/2006 16:24,,,,RUR - Наличные,-403,"14,186.12",,\Все статьи расхода\Дом\Бытовая химия,\Все платёжные агенты\Вадим,
+,4/11/2006 16:24,,,,RUR - Наличные,"-2,069.70","12,116.42",ашан,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,5/11/2006 14:39,,,,RUR - Наличные,-20,"12,096.42",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,5/11/2006 14:39,,,,RUR - Наличные,-480,"11,616.42",билет курск,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,6/11/2006 14:38,,,,RUR - Наличные,-450,"11,166.42",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,6/11/2006 14:39,,,,RUR - Наличные,-9,"11,157.42",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,6/11/2006 22:09,,,,RUR - Наличные,-86,"11,071.42",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,7/11/2006 22:10,,,,RUR - Наличные,-150,"10,921.42",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,7/11/2006 22:10,,,,RUR - Наличные,-35,"10,886.42",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,7/11/2006 22:10,,,,RUR - Наличные,-615,"10,271.42",в Курск,\Все статьи расхода,\Все платёжные агенты\Света,
+,8/11/2006 21:33,,,,RUR - Наличные,-250,"10,021.42",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,8/11/2006 21:33,,,,RUR - Наличные,-150,"9,871.42",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,8/11/2006 21:33,,,,RUR - Наличные,-65,"9,806.42",имодиум,\Все статьи расхода\Здоровье,\Все платёжные агенты\Вадим,
+,9/11/2006 22:14,,,,RUR - Наличные,-160,"9,646.42",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,9/11/2006 22:15,,,,RUR - Наличные,-300,"9,346.42",през,\Все статьи расхода\Здоровье,\Все платёжные агенты\Вадим,
+,9/11/2006 22:15,,,,RUR - Наличные,-40,"9,306.42",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,9/11/2006 22:17,,,,RUR - Наличные,-92,"9,214.42",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,9/11/2006 22:17,,,,RUR - Наличные,-289,"8,925.42",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,9/11/2006 22:21,RUR - Наличные,120,"9,045.42",,,,из Курска,\Все статьи прихода,\Все платёжные агенты\Света,
+,10/11/2006 0:23,RUR - CitiBank Card,"8,545.73","18,728.45",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Света,
+,11/11/2006 0:09,,,,RUR - Наличные,-150,"8,895.42",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,11/11/2006 0:10,,,,RUR - Наличные,-116.3,"8,779.12",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,11/11/2006 0:10,,,,RUR - Наличные,-20,"8,759.12",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,11/11/2006 0:12,,,,RUR - Внешторгбанк,-423.55,"9,632.15",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/11/2006 0:15,,,,RUR - Наличные,-69,"8,690.12",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,11/11/2006 19:40,RUR - Наличные,"5,000.00","13,690.12",RUR - Внешторгбанк,"-5,000.00","4,632.15",,,,
+,11/11/2006 19:41,,,,RUR - Наличные,-100,"13,590.12",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,11/11/2006 19:41,,,,RUR - Наличные,"-9,500.00","4,090.12",шапки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,11/11/2006 19:42,,,,RUR - Наличные,-136,"3,954.12",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,11/11/2006 19:43,,,,RUR - Наличные,-500,"3,454.12",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,11/11/2006 19:43,,,,RUR - Наличные,"-1,785.00","1,669.12",ашан,\Все статьи расхода\Дом,\Все платёжные агенты\Вадим,
+,11/11/2006 19:44,,,,RUR - Наличные,-150,"1,519.12",мойка,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
